Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Weight,Variant Weight Unit,Image Src,metafields.wine.varietal,metafields.wine.vintage,metafields.wine.appellation,metafields.wine.region,metafields.wine.country_state,metafields.wine.abv,metafields.wine.body,metafields.wine.style,metafields.wine.tasting_notes,metafields.rating.expert_rating,metafields.rating.customer_rating,metafields.rating.review_count,metafields.wine.mix_6_price,metafields.general.source_url,metafields.wine.size,metafields.wine.wine_type
old-winery-road-cabernet-sauvignon-napa-sonoma-2022,"Old Winery Road Cabernet Sauvignon Napa Sonoma, 2022","Beverage Dynamics-California - Napa Valley - Grapes from both Napa and Sonoma Counties were used by the winemakers at Buena Vista to showcase a seamless 50/50 blend. Hints of cedar spice with blueberry, blackberry, and black currant notes on the palate. Fruit forward, rich and well-integrated.",Old Winery Road,Wine,Red Wine,"Cabernet Sauvignon, Red Wine, Napa Valley, Napa Sonoma",TRUE,Title,Default Title,34.99,235847750-1,shopify,100,1.5,lb,,Cabernet Sauvignon,2022,Napa Sonoma,Napa Valley,California,14.5,Full-bodied,Intense,"Raspberry, Dark Fruit",94 • Beverage Dynamics,4.5/5,75,$31.49,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/old-winery-road-cabernet-sauvignon-napa-sonoma/p/235847750,750ml,Red Wine
samuel-robert-pinot-noir-willamette-vineyard-reserve-2023,"Samuel Robert Pinot Noir Willamette Vineyard Reserve, 2023","Wine Enthusiast-Oregon-Willamette Valley-A rich aromatic power trio of dates, figs and aged balsamic is accented by spicy bits of cinnamon, clove and coriander. The wine's flavor profile is similar, as dark plums are joined by orange zest and chai tea spices. Fine, grainy tannins hold it al together.",Samuel Robert Winery,Wine,Red Wine,"Pinot Noir, Red Wine, Willamette Valley, Willamette Valley",TRUE,Title,Default Title,17.99,181110750-1,shopify,100,1.5,lb,,Pinot Noir,2023,Willamette Valley,Willamette Valley,Oregon,13.5,Medium-bodied,Fresh,"Red Fruit, Cinnamon, Nutmeg",89 • Wine Enthusiast,4.3/5,1422,$16.19,https://www.totalwine.com/wine/red-wine/pinot-noir/samuel-robert-pinot-noir-willamette-vineyard-reserve/p/181110750,750ml,Red Wine
cruz-alta-malbec-reserve-by-rutini-wines,Cruz Alta Malbec Reserve by Rutini Wines,"Mendoza, Argentina- This 100% Malbec is sourced from three iconic high altitude vineyards in the famed region of Mendoza. Revealing rich black fruit and red plum aromas, a spicy, structured palate and a long firm finish. Classic match with grilled meats.",Cruz Alta,Wine,Red Wine,"Malbec, Red Wine, Mendoza, Mendoza",TRUE,Title,Default Title,13.99,1989750-1,shopify,100,1.5,lb,,Malbec,,Mendoza,Mendoza,Argentina,13.5,Medium-bodied,Intense,"Black Fruit, Vanilla",No rating listed,4.4/5,615,$12.59,https://www.totalwine.com/wine/red-wine/malbec/cruz-alta-malbec-reserve-by-rutini-wines/p/1989750,750ml,Red Wine
angeline-pinot-noir-california-2022,"Angeline Pinot Noir California, 2022",James Suckling-California - Sonoma County - Aromas of fresh baked strawberry pie and cherries follow through to a medium body with nice and bright red fruit and an easy finish. Remains fresh at the end. Drink now. Screw cap.,Angeline,Wine,Red Wine,"Pinot Noir, Red Wine, Sonoma County, Sonoma County",TRUE,Title,Default Title,9.99,106559750-1,shopify,100,1.5,lb,,Pinot Noir,2022,Sonoma County,Sonoma County,California,13.5,Medium-bodied,Fresh,"Strawberry, Raspberry",90 • James Suckling,4.2/5,506,$8.99,https://www.totalwine.com/wine/red-wine/pinot-noir/angeline-pinot-noir-california/p/106559750,750ml,Red Wine
harvester-cabernet-sauvignon-paso-robles-by-hope-family-wines,Harvester Cabernet Sauvignon Paso Robles by Hope Family Wines,"Beverage Dynamics-Paso Robles, Central Coast, CA- Full-bodied with inviting flavors of red berries, spice, and velvety tannins; a densely-packed Cabernet that is defined by its soft, luscious finish. Crafted by Austin Hope of Hope Family Wines.",Harvester Wine,Wine,Red Wine,"Cabernet Sauvignon, Red Wine, Central Coast, Paso Robles",TRUE,Title,Default Title,19.99,134058750-1,shopify,100,1.5,lb,,Cabernet Sauvignon,,Paso Robles,Central Coast,California,13.5,Full-bodied,Elegant,"Black Cherry, Violet",90 • Beverage Dynamics,4.3/5,919,$17.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/harvester-cabernet-sauvignon-paso-robles-by-hope-family-wines/p/134058750,750ml,Red Wine
chateau-lamothe-vincent-reserve-bordeaux-2022,"Chateau Lamothe Vincent Reserve Bordeaux, 2022","Decanter-France - Bordeaux - Bordeaux/Bordeaux Superieur - Decanter World Wine Awards: An alluring splendour of smoky oak and lip-smacking blackberry pie which nicely entangles with the swaddling tannins, polished acidity and impeccably smooth texture. Long and delicious.",Chateau Lamothe Vincent,Wine,Red Wine,"Bordeaux Blend, Red Wine, Bordeaux, Bordeaux/Bordeaux Superieur",TRUE,Title,Default Title,12.99,2126222101-1,shopify,100,1.5,lb,,Bordeaux Blend,2022,Bordeaux/Bordeaux Superieur,Bordeaux,France,14.5,Medium-bodied,Elegant,"Cassis, Currant, Red Fruit",95 • Decanter,4.1/5,107,$11.69,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-lamothe-vincent-reserve-bordeaux/p/2126222101,750ml,Red Wine
renieri-invetro-super-tuscan-2021,"Renieri Invetro Super Tuscan, 2021","James Suckling-Italy - Tuscany - A crunchy wine with blackberry and black truffle character, a medium body, juicy tannins and a flavorful finish. Balanced fruit. From organically grown grapes. 50% sangiovese, 25% merlot and 25% cabernet sauvignon. Fun and delicious now.",Renieri,Wine,Red Wine,"Red Blend, Red Wine, Tuscany, Tuscany",TRUE,Title,Default Title,17.99,113710750-1,shopify,100,1.5,lb,,Red Blend,2021,Tuscany,Tuscany,Italy,14.0,Medium-bodied,Elegant,"Cherry, Plum",92 • James Suckling,4.0/5,909,$16.19,https://www.totalwine.com/wine/red-wine/red-blend/renieri-invetro-super-tuscan/p/113710750,750ml,Red Wine
mascota-vineyards-unanime-cabernet-2020,"Mascota Vineyards Unanime Cabernet, 2020","James Suckling-Argentina - Mendoza - A pretty ripe nose with some baked plums, cherries and hints of sweet spices and white pepper. Pretty plush and juicy on the medium-bodied palate with a very tight and tense finish. Fine-grained and long.",Mascota Vineyards,Wine,Red Wine,"Cabernet Sauvignon, Red Wine, Mendoza, Mendoza",TRUE,Title,Default Title,21.99,130007750-1,shopify,100,1.5,lb,,Cabernet Sauvignon,2020,Mendoza,Mendoza,Argentina,14.5,Full-bodied,Elegant,"Blackberry, Chocolate",93 • James Suckling,4.3/5,1315,$19.79,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/mascota-vineyards-unanime-cabernet/p/130007750,750ml,Red Wine
oak-ridge-zinfandel-ancient-vine-estate-grown-lodi-2022,"Oak Ridge Zinfandel Ancient Vine Estate Grown Lodi, 2022","Wine Enthusiast-California - Lodi - highlights a mixture of buoyant and concentrated red plum, boysenberry, cracked black peppercorn and toasty oak. Flavors dance across the palate, offering baked raspberry-blueberry pie, star anise, cardamom and candied lemon zest on the finish...",Oak Ridge Winery,Wine,Red Wine,"Zinfandel, Red Wine, Lodi, Lodi",TRUE,Title,Default Title,16.99,36258750-1,shopify,100,1.5,lb,,Zinfandel,2022,Lodi,Lodi,California,14.5,Medium-bodied,Intense,"Blackberry, Cherry",91 • Wine Enthusiast,4.4/5,880,$15.29,https://www.totalwine.com/wine/red-wine/zinfandel/oak-ridge-zinfandel-ancient-vine-estate-grown-lodi/p/36258750,750ml,Red Wine
asua-rioja-crianza-2021,"Asua Rioja Crianza, 2021","Vinous-Rioja, Spain - aged for 14 months in French oak barrels. Purple in hue, its fairly reductive aromas feature blackberry and plums atop an oaky layer. Dry and almost infusion-like on the palate, supple tannins and a juicy flow convey a long-lasting, pleasant finish.",Asua,Wine,Red Wine,"Tempranillo, Red Wine, Rioja, Rioja",TRUE,Title,Default Title,19.99,220508750-1,shopify,100,1.5,lb,,Tempranillo,2021,Rioja,Rioja,Spain,13.5,Medium-bodied,Intense,"Black Fruit, Wood, Spice",91 • Vinous,4.1/5,169,$17.99,https://www.totalwine.com/wine/red-wine/tempranillo/asua-rioja-crianza/p/220508750,750ml,Red Wine
rock-view-chardonnay-reserve-mendocino-by-rob-lloyd-2023,"Rock View Chardonnay Reserve Mendocino by Rob Lloyd, 2023","Beverage Dynamics-Mendocino, CA - Butterscotch and vanilla welcome you to the glass but it is less buttery than your nose would have you think. Bright green apple and tropical fruits like melon greatly balance out the oak on this wine.",Rock View,Wine,White Wine,"Chardonnay, White Wine, Mendocino, Mendocino",TRUE,Title,Default Title,22.99,117938750-1,shopify,100,1.5,lb,,Chardonnay,2023,Mendocino,Mendocino,California,14.8,Full-bodied,Oak,"Pineapple, Vanilla",92 • Beverage Dynamics,4.2/5,292,$20.69,https://www.totalwine.com/wine/white-wine/chardonnay/rock-view-chardonnay-reserve-mendocino-by-rob-lloyd/p/117938750,750ml,White Wine
tesoro-della-regina-pinot-grigio,Tesoro della Regina Pinot Grigio,"Italy - A sunny day. An empty glass. How about a new Pinot Grigio? If you are into brilliant, bright flavors of green apple, citrus and minerality, search no more. We think this treasure is a terrific value from Northern Italy that's sure to be your new go-to.",Tesoro della Regina,Wine,White Wine,"Pinot Grigio, White Wine, Valdadige, Valdadige",TRUE,Title,Default Title,18.99,110475750-1,shopify,100,1.5,lb,,Pinot Grigio,,Valdadige,Valdadige,Italy,12.5,Medium-bodied,Elegant,"Apple, Citrus, Mineral",No rating listed,4.6/5,882,$17.09,https://www.totalwine.com/wine/white-wine/pinot-grigiopinot-gris/tesoro-della-regina-pinot-grigio/p/110475750,750ml,White Wine
buttercream-chardonnay,Buttercream Chardonnay,"California - Big and buttery. Decadent and excellent with scallops, bacon, cream. Same story with grilled salmon. Sip on the dock, the backyard, the front porch. Bliss. Vegan",Buttercream,Wine,White Wine,"Chardonnay, White Wine, California, California",TRUE,Title,Default Title,13.49,171353750-1,shopify,100,1.5,lb,,Chardonnay,,California,California,California,14.1,Full-bodied,Oak,"Butter, Vanilla, Pear",No rating listed,4.2/5,2007,$12.14,https://www.totalwine.com/wine/white-wine/chardonnay/buttercream-chardonnay/p/171353750,750ml,White Wine
king-maui-marlborough-sauvignon-blanc-2024,"King Maui Marlborough Sauvignon Blanc, 2024","James Suckling-New Zealand - Marlborough - Tropical aromas of gooseberries, nectarines and papayas. The palate is light-bodied with lemon peel, passion-fruit curd and cut grass. Well-balanced and pure...",King Maui,Wine,White Wine,"Sauvignon Blanc, White Wine, Marlborough, Marlborough",TRUE,Title,Default Title,11.49,237134750-1,shopify,100,1.5,lb,,Sauvignon Blanc,2024,Marlborough,Marlborough,New Zealand,12.5,Light-bodied,Crisp,"Citrus, Herb",91 • James Suckling,4.4/5,459,$10.34,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/king-maui-marlborough-sauvignon-blanc/p/237134750,750ml,White Wine
domaine-salmon-sancerre-sauvignon-blanc,Domaine Salmon Sancerre Sauvignon Blanc,"Sancerre, Loire Valley, France- Made from old vines, which intensifies the flavor, this estate-bottled wine is a fine expression of Sauvignon Blanc. Refreshingly zesty with crisp notes of citrus and minerals, dry and complex. Enjoy with soft cheeses like goat cheese.",Domaine Salmon,Wine,White Wine,"Sauvignon Blanc, White Wine, Loire, Sancerre",TRUE,Title,Default Title,34.99,13305750-1,shopify,100,1.5,lb,,Sauvignon Blanc,,Sancerre,Loire,France,13.0,Medium-bodied,Crisp,"Citrus, Mineral",No rating listed,4.4/5,200,$31.49,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/domaine-salmon-sancerre-sauvignon-blanc/p/13305750,750ml,White Wine
val-do-sosego-albariño-rias-baixas-2022,"Val Do Sosego Albariño Rias Baixas, 2022","James Suckling-Spain - Rias Baixas - Grapefruit, melon, bananas and fresh pineapples on the nose. Some salty undertones. Fruity and tropical with a medium body, bright acidity and good length, too.",Val Do Sosego,Wine,White Wine,"Albariño, White Wine, Rias Baixas, Rias Baixas",TRUE,Title,Default Title,19.99,98494750-1,shopify,100,1.5,lb,,Albariño,2022,Rias Baixas,Rias Baixas,Spain,12.0,Medium-bodied,Crisp,"Citrus, Mineral",91 • James Suckling,4.5/5,342,$17.99,https://www.totalwine.com/wine/white-wine/albarino/val-do-sosego-albarino-rias-baixas/p/98494750,750ml,White Wine
river-road-chardonnay-sonoma-2022,"River Road Chardonnay Sonoma, 2022",Wine Enthusiast-California - Sonoma - Clean and crisp with lovely tropical fruit flavors. Balanced oak integration with vanilla notes. Perfect for seafood and poultry dishes.,River Road,Wine,White Wine,"Chardonnay, White Wine, Sonoma, Sonoma",TRUE,Title,Default Title,16.99,92742750-1,shopify,100,1.5,lb,,Chardonnay,2022,Sonoma,Sonoma,California,13.5,Full-bodied,Oak,"Apple, Pear",90 • Wine Enthusiast,4.4/5,261,$15.29,https://www.totalwine.com/wine/white-wine/chardonnay/river-road-chardonnay-sonoma/p/92742750,750ml,White Wine
governors-bay-sauvignon-blanc,Governors Bay Sauvignon Blanc,New Zealand - Marlborough - Classic Marlborough Sauvignon Blanc with tropical fruit flavors and herbaceous notes. Crisp acidity and clean finish perfect for summer sipping.,Governors Bay,Wine,White Wine,"Sauvignon Blanc, White Wine, Marlborough, Marlborough",TRUE,Title,Default Title,13.99,139834750-1,shopify,100,1.5,lb,,Sauvignon Blanc,,Marlborough,Marlborough,New Zealand,12.5,Light-bodied,Crisp,"Gooseberry, Passionfruit, Melon",No rating listed,4.4/5,758,$12.59,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/governors-bay-sauvignon-blanc/p/139834750,750ml,White Wine
gabrielle-vivien-chablis,Gabrielle Vivien Chablis,France - Chablis - Classic French Chablis with mineral-driven character and crisp acidity. Clean and elegant expression of Burgundian Chardonnay.,Gabrielle Vivien,Wine,White Wine,"Chardonnay, White Wine, Burgundy, Chablis",TRUE,Title,Default Title,29.99,351183750-1,shopify,100,1.5,lb,,Chardonnay,,Chablis,Burgundy,France,12.5,Medium-bodied,Crisp,"Citrus, Mineral",No rating listed,4.5/5,26,$26.99,https://www.totalwine.com/wine/white-wine/chardonnay/gabrielle-vivien-chablis/p/351183750,750ml,White Wine
bougrier-v-vouvray-chenin-blanc-2022,"Bougrier V Vouvray Chenin Blanc, 2022",Wine Enthusiast-France - Loire Valley - Vouvray - Fresh and vibrant Chenin Blanc with apple and honey notes. Off-dry style perfect for spicy foods and Asian cuisine.,Bougrier,Wine,White Wine,"Chenin Blanc, White Wine, Loire, Vouvray",TRUE,Title,Default Title,15.99,92397750-1,shopify,100,1.5,lb,,Chenin Blanc,2022,Vouvray,Loire,France,12.5,Medium-bodied,Fresh,"Apple, Honey",90 • Wine Enthusiast,4.5/5,913,$14.39,https://www.totalwine.com/wine/white-wine/chenin-blanc/bougrier-v-vouvray-chenin-blanc/p/92397750,750ml,White Wine
armani-pinot-grigio-venezie,Armani Pinot Grigio Venezie,Italy - Venezie - Classic Italian Pinot Grigio with fresh apple and pear flavors. Clean and crisp with a refreshing finish.,Armani,Wine,White Wine,"Pinot Grigio, White Wine, Venezie, Venezie",TRUE,Title,Default Title,12.99,14445750-1,shopify,100,1.5,lb,,Pinot Grigio,,Venezie,Venezie,Italy,12.0,Medium-bodied,Crisp,"Apple, Pear",No rating listed,4.3/5,566,$11.69,https://www.totalwine.com/wine/white-wine/pinot-grigio-pinot-gris/armani-pinot-grigio-venezie/p/14445750,750ml,White Wine
bishop-pine-chardonnay-california-2023,"Bishop Pine Chardonnay California, 2023",Wine Enthusiast-California - Unoaked Chardonnay with fresh apple and pear flavors. Light and crisp style perfect for everyday drinking.,Bishop Pine,Wine,White Wine,"Chardonnay, White Wine, California, California",TRUE,Title,Default Title,9.49,236085750-1,shopify,100,1.5,lb,,Chardonnay,2023,California,California,California,13.5,Medium-bodied,Crisp,"Apple, Pear",90 • Wine Enthusiast,4.3/5,329,$8.54,https://www.totalwine.com/wine/white-wine/chardonnay/bishop-pine-chardonnay-california/p/236085750,750ml,White Wine
river-road-chardonnay-russian-river-valley-reserve-2023,"River Road Chardonnay Russian River Valley Reserve, 2023",Wine Spectator-California - Russian River Valley - Premium Chardonnay with tropical fruit flavors and elegant oak integration. Complex and well-balanced.,River Road,Wine,White Wine,"Chardonnay, White Wine, Russian River Valley, Russian River Valley",TRUE,Title,Default Title,21.99,93152750-1,shopify,100,1.5,lb,,Chardonnay,2023,Russian River Valley,Russian River Valley,California,14.0,Full-bodied,Oak,"Tropical, Citrus",90 • Wine Spectator,4.3/5,627,$19.79,https://www.totalwine.com/wine/white-wine/chardonnay/river-road-chardonnay-russian-river-valley-reserve/p/93152750,750ml,White Wine
kupelwieser-pinot-grigio-alto-adige,Kupelwieser Pinot Grigio Alto Adige,Italy - Alto Adige - Premium Pinot Grigio from Northern Italy with crisp apple and mineral notes. Clean and refreshing mountain wine.,Kupelwieser,Wine,White Wine,"Pinot Grigio, White Wine, Alto Adige, Alto Adige",TRUE,Title,Default Title,15.99,95476750-1,shopify,100,1.5,lb,,Pinot Grigio,,Alto Adige,Alto Adige,Italy,12.5,Medium-bodied,Crisp,"Apple, Mineral",No rating listed,4.6/5,152,$14.39,https://www.totalwine.com/wine/white-wine/pinot-grigio-pinot-gris/kupelwieser-pinot-grigio-alto-adige/p/95476750,750ml,White Wine
albino-armani-pinot-grigio-corvara-2022,"Albino Armani Pinot Grigio Corvara, 2022",Wine Enthusiast-Italy - Veneto - Elegant Pinot Grigio with fresh apple and citrus flavors. Well-structured with good length and complexity.,Albino Armani,Wine,White Wine,"Pinot Grigio, White Wine, Veneto, Corvara",TRUE,Title,Default Title,16.99,14442750-1,shopify,100,1.5,lb,,Pinot Grigio,2022,Corvara,Veneto,Italy,12.5,Medium-bodied,Crisp,"Apple, Citrus",90 • Wine Enthusiast,4.5/5,381,$15.29,https://www.totalwine.com/wine/white-wine/pinot-grigio-pinot-gris/albino-armani-pinot-grigio-corvara/p/14442750,750ml,White Wine
grand-sud-sauvignon-blanc,Grand Sud Sauvignon Blanc,France - Languedoc - Value-driven French Sauvignon Blanc with fresh citrus and herb flavors. Clean and crisp everyday white wine.,Grand Sud,Wine,White Wine,"Sauvignon Blanc, White Wine, Languedoc, Vin de France",TRUE,Title,Default Title,10.99,159989010-1,shopify,100,1.5,lb,,Sauvignon Blanc,,Vin de France,Languedoc,France,12.0,Light-bodied,Crisp,"Citrus, Herb",No rating listed,4.5/5,235,$9.89,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/grand-sud-sauvignon-blanc/p/159989010,1L,White Wine
bougrier-famille-sauvignon-blanc-vin-de-france,Bougrier Famille Sauvignon Blanc Vin de France,France - Loire - Classic French Sauvignon Blanc with fresh citrus and herbaceous notes. Crisp and refreshing.,Bougrier Famille,Wine,White Wine,"Sauvignon Blanc, White Wine, Loire, Vin de France",TRUE,Title,Default Title,11.99,243188750-1,shopify,100,1.5,lb,,Sauvignon Blanc,,Vin de France,Loire,France,12.0,Light-bodied,Crisp,"Citrus, Herb",No rating listed,4.4/5,100,$10.79,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/bougrier-famille-sauvignon-blanc-vin-de-france/p/243188750,750ml,White Wine
